ice_event_code;ice_ric_code;ttpro_event_code;ice_event_name;ice_ric_name;ice_event_name_de;ice_ric_name_de;ttpro_standardereignis_bedeutung;ttpro_event_code_meaning;dhl_paket;dhl_paket_international;dhl_europaket
ADVIS;DLVDT;DD;Advise;DeLiVery DaTe;Sendungsavise/-auftrag;Wunschtag;Datendienst;Data Service;1;1;0
ADVIS;DLVTM;DD;Advise;DeLiVery TiME;Sendungsavise/-auftrag;Wunschzeit / Zustellzeitfenster;Datendienst;Data Service;1;0;0
ADVIS;MSGER;DD;Advise;Message Error;Sendungsavise/-auftrag;Fehler bei Nachrichtenübermittlung von Multikanalplattform;Datendienst;Data Service;1;0;0
ADVIS;MSGPC;DD;Advise;Message processing;Sendungsavise/-auftrag;SMS bei Provider in Bearbeitung;Datendienst;Data Service;1;0;0
ADVIS;MSGST;DD;Advise;Message sent;Sendungsavise/-auftrag;Nachricht zugestellt;Datendienst;Data Service;1;0;0
ADVIS;ORDER;DD;Advise;Ordered;Sendungsavise/-auftrag;Beauftragt;Datendienst;Data Service;0;1;0
ADVIS;PFLOC;DD;Advise;Preferred Location/Neighbor;Sendungsavise/-auftrag;Wunschort/Wunschnachbar;Datendienst;Data Service;1;0;0
ADVIS;REJCT;DD;Advise;Rejected;Sendungsavise/-auftrag;Der Auftrag wurde abgelehnt;Datendienst;Data Service;1;0;0
ADVIS;ROUCR;DD;Advise;reROUted on Customer Request;Sendungsavise/-auftrag;Weiterleitung auf Kundenwunsch;Datendienst;Data Service;1;0;0
ADVIS;SECDA;DD;Advise;SECond Delivery Attempt;Sendungsavise/-auftrag;Zweiter Zustellversuch;Datendienst;Data Service;0;1;0
ADVIS;STBSD;DD;Advise;Stopped by sender;Sendungsavise/-auftrag;Absenderverfügung: Sendung anhalten;Datendienst;Data Service;1;0;0
ADVIS;STBSD;ZN;Advise;Stopped by sender;Sendungsavise/-auftrag;Absenderverfügung: Sendung anhalten;Zustellversuch nicht erfolgreich;Delivery attempt not successful;1;0;0
ALERT;BDADD;BV;Alert;Bad address;Benachrichtigung;Adresse fehlerhaft;Besondere Vorkommnisse;Exception;1;0;0
ALERT;DLVTM;DD;Alert;DeLiVery TiME;Benachrichtigung;Wunschzeit / Zustellzeitfenster;Datendienst;Data Service;1;1;0
ASMVT;NRQRD;NB;Assigned to movement / tour vehicle;ICE Details;Transportzuweisung;Keine weiteren Details erforderlich;Normale Bearbeitung;Normal processing;0;0;1
CANCL;NRQRD;BV;The shipment order was canceled by the sender;ICE Details;Der angekündigte Versand der Sendung wurde vom Absender storniert;Keine weiteren Details erforderlich;Besondere Vorkommnisse;Exception;1;0;0
CHECK;SVCHG;BV;Checked;Product feature check - Service changed;Produktmerkmal-Prüfung;Produktprüfung - Service geändert;Besondere Vorkommnisse;Exception;0;0;1
CNFSC;LEGAT;BV;Confiscation;LEGal AuThority;Beschlagnahme/Postsperre;Übergabe der Sendung an Bevollmächtigten;Besondere Vorkommnisse;Exception;1;0;0
CNRFC;HDFCT;LA;Consignee notified - Ready for collection;Held at DHL facility;Benachrichtigt;Lagerung wegen Selbstabholung;Lagerung;In storage;1;0;0
CNRFC;HDFCT;ZF;Consignee notified - Ready for collection;Held at DHL facility;Benachrichtigt;Lagerung wegen Selbstabholung;Zustellung Filiale;Delivery to postal outlet;0;1;0
CNRFC;NRQRD;ZF;Consignee notified - Ready for collection;ICE Details;Benachrichtigt;Keine weiteren Details erforderlich;Zustellung Filiale;Delivery to postal outlet;1;1;1
CNRFC;PCKST;ZF;Consignee notified - Ready for collection;Packstation;Benachrichtigt;Packstation;Zustellung Filiale;Delivery to postal outlet;1;0;0
CNRFC;SERPT;ZF;Consignee notified - Ready for collection;Service Point;Benachrichtigt;Filiale / Agentur;Zustellung Filiale;Delivery to postal outlet;1;1;0
DLVRD;ACCDM;ZU;Delivered;Accepted - damaged;Ausgeliefert;Erfolgreiche Zustellung - Beschädigt;Zugestellt;Delivery successful;1;0;1
