service_code,service_name,zone_label,country_codes,min_weight,max_weight,max_length,max_width,max_height,rate,currency,transit_days,domicile,international
PR,DHL Premium,Poland,PL,0.01,1.0,120,60,60,12.90,PLN,1,true,false
PR,DHL Premium,Poland,PL,1.0,5.0,120,60,60,15.90,PLN,1,true,false
PR,DHL Premium,Poland,PL,5.0,10.0,120,60,60,18.90,PLN,1,true,false
PR,DHL Premium,Poland,PL,10.0,20.0,120,60,60,22.90,PLN,1,true,false
PR,DHL Premium,Poland,PL,20.0,31.5,120,60,60,28.90,PLN,1,true,false
AH,DHL Polska,Poland,PL,0.01,1.0,120,60,60,9.90,PLN,1-2,true,false
AH,DHL Polska,Poland,PL,1.0,5.0,120,60,60,12.90,PLN,1-2,true,false
AH,DHL Polska,Poland,PL,5.0,10.0,120,60,60,15.90,PLN,1-2,true,false
AH,DHL Polska,Poland,PL,10.0,20.0,120,60,60,19.90,PLN,1-2,true,false
AH,DHL Polska,Poland,PL,20.0,31.5,120,60,60,24.90,PLN,1-2,true,false
09,DHL 09,Poland,PL,0.01,1.0,120,60,60,18.90,PLN,1,true,false
09,DHL 09,Poland,PL,1.0,5.0,120,60,60,22.90,PLN,1,true,false
09,DHL 09,Poland,PL,5.0,10.0,120,60,60,26.90,PLN,1,true,false
09,DHL 09,Poland,PL,10.0,20.0,120,60,60,32.90,PLN,1,true,false
09,DHL 09,Poland,PL,20.0,31.5,120,60,60,39.90,PLN,1,true,false
12,DHL 12,Poland,PL,0.01,1.0,120,60,60,14.90,PLN,1,true,false
12,DHL 12,Poland,PL,1.0,5.0,120,60,60,18.90,PLN,1,true,false
12,DHL 12,Poland,PL,5.0,10.0,120,60,60,22.90,PLN,1,true,false
12,DHL 12,Poland,PL,10.0,20.0,120,60,60,27.90,PLN,1,true,false
12,DHL 12,Poland,PL,20.0,31.5,120,60,60,34.90,PLN,1,true,false
EK,DHL Connect,Europe,"DE,CZ,SK,LT,UA,AT,HU",0.01,2.0,120,60,60,35.90,PLN,2-4,false,true
EK,DHL Connect,Europe,"DE,CZ,SK,LT,UA,AT,HU",2.0,5.0,120,60,60,45.90,PLN,2-4,false,true
EK,DHL Connect,Europe,"DE,CZ,SK,LT,UA,AT,HU",5.0,10.0,120,60,60,55.90,PLN,2-4,false,true
EK,DHL Connect,Europe,"DE,CZ,SK,LT,UA,AT,HU",10.0,20.0,120,60,60,69.90,PLN,2-4,false,true
EK,DHL Connect,Europe,"DE,CZ,SK,LT,UA,AT,HU",20.0,31.5,120,60,60,85.90,PLN,2-4,false,true
PI,DHL International,Worldwide,,0.01,2.0,120,60,60,49.90,PLN,3-7,false,true
PI,DHL International,Worldwide,,2.0,5.0,120,60,60,65.90,PLN,3-7,false,true
PI,DHL International,Worldwide,,5.0,10.0,120,60,60,79.90,PLN,3-7,false,true
PI,DHL International,Worldwide,,10.0,20.0,120,60,60,99.90,PLN,3-7,false,true
PI,DHL International,Worldwide,,20.0,31.5,120,60,60,129.90,PLN,3-7,false,true
