service_code,service_name,zone_label,country_codes,min_weight,max_weight,max_length,max_width,max_height,rate,currency,transit_days,domicile,international
101,DPD Classic,Domestic,DE,0.01,31.5,175,70,70,0.0,EUR,2,true,false
101,DPD Classic,Europe,"AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,GR,HU,IE,IT,LV,LT,LU,MT,NL,PL,PT,RO,SK,SI,ES,SE,GB",0.01,31.5,175,70,70,0.0,EUR,3,false,true
E10,DPD Express 10:00,Domestic,DE,0.01,31.5,175,70,70,0.0,EUR,1,true,false
E10,DPD Express 10:00,Europe,"AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,GR,HU,IE,IT,LV,LT,LU,MT,NL,PL,PT,RO,SK,SI,ES,SE,GB",0.01,31.5,175,70,70,0.0,EUR,1,false,true
E12,DPD Express 12:00,Domestic,DE,0.01,31.5,175,70,70,0.0,EUR,1,true,false
E12,DPD Express 12:00,Europe,"AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,GR,HU,IE,IT,LV,LT,LU,MT,NL,PL,PT,RO,SK,SI,ES,SE,GB",0.01,31.5,175,70,70,0.0,EUR,1,false,true
E18,DPD Express 18:00,Domestic,DE,0.01,31.5,175,70,70,0.0,EUR,1,true,false
E18,DPD Express 18:00,Europe,"AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,GR,HU,IE,IT,LV,LT,LU,MT,NL,PL,PT,RO,SK,SI,ES,SE,GB",0.01,31.5,175,70,70,0.0,EUR,1,false,true
PS,DPD Parcel Shop,Domestic,DE,0.01,31.5,175,70,70,0.0,EUR,2,true,false
PS,DPD Parcel Shop,Europe,"AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,GR,HU,IE,IT,LV,LT,LU,MT,NL,PL,PT,RO,SK,SI,ES,SE,GB",0.01,31.5,175,70,70,0.0,EUR,3,false,true
