service_code,service_name,zone_label,country_codes,rate,currency,transit_days
LGINTSTD,MaxiPak Scan DDP,United States,US,5.71,GBP,7
LGINTSTD,MaxiPak Scan DDP,EU Zone 1,"AT,BE,CZ,DE,DK,FR,IE,LU,NL,PL",4.33,GBP,8
LGINTSTD,MaxiPak Scan DDP,EU Zone 2,"ES,FI,HU,IT,PT,SE",3.35,GBP,9
LGINTSTD,MaxiPak Scan DDP,EU Zone 3,"BG,CY,EE,GR,HR,LT,LV,MT,RO,SI,SK",3.16,GBP,10
LGINTSTD,MaxiPak Scan DDP,Rest of World,"AE,AU,CA,HK,NZ,SA,SG",3.54,GBP,9
LGINTSTDU,MaxiPak Scan DDU,United States,US,5.71,GBP,7
LGINTSTDU,MaxiPak Scan DDU,EU Zone 1,"AT,BE,CZ,DE,DK,FR,IE,LU,NL,PL",4.33,GBP,8
LGINTSTDU,MaxiPak Scan DDU,EU Zone 2,"ES,FI,HU,IT,PT,SE",3.35,GBP,9
LGINTSTDU,MaxiPak Scan DDU,EU Zone 3,"BG,CY,EE,GR,HR,LT,LV,MT,RO,SI,SK",3.16,GBP,10
LGINTSTDU,MaxiPak Scan DDU,Rest of World,"AE,AU,CA,HK,NZ,SA,SG",3.54,GBP,9
LGINTBPIP,MiniPak Scan DDP,United States,US,5.71,GBP,7
LGINTBPIP,MiniPak Scan DDP,EU Zone 1,"AT,BE,CZ,DE,DK,FR,IE,LU,NL,PL",4.33,GBP,8
LGINTBPIP,MiniPak Scan DDP,EU Zone 2,"ES,FI,HU,IT,PT,SE",3.35,GBP,9
LGINTBPIP,MiniPak Scan DDP,EU Zone 3,"BG,CY,EE,GR,HR,LT,LV,MT,RO,SI,SK",3.16,GBP,10
LGINTBPIP,MiniPak Scan DDP,Rest of World,"AE,AU,CA,HK,NZ,SA,SG",3.54,GBP,9
LGINTBPIU,MiniPak Scan DDU,United States,US,5.71,GBP,7
LGINTBPIU,MiniPak Scan DDU,EU Zone 1,"AT,BE,CZ,DE,DK,FR,IE,LU,NL,PL",4.33,GBP,8
LGINTBPIU,MiniPak Scan DDU,EU Zone 2,"ES,FI,HU,IT,PT,SE",3.35,GBP,9
LGINTBPIU,MiniPak Scan DDU,EU Zone 3,"BG,CY,EE,GR,HR,LT,LV,MT,RO,SI,SK",3.16,GBP,10
LGINTBPIU,MiniPak Scan DDU,Rest of World,"AE,AU,CA,HK,NZ,SA,SG",3.54,GBP,9
LGINTUPST,MaxiPak Scan Premium UPS Standard DDP,EU Zone 1,"AT,BE,CZ,DE,DK,FR,IE,LU,NL,PL",5.50,GBP,6
LGINTUPST,MaxiPak Scan Premium UPS Standard DDP,EU Zone 2,"ES,FI,HU,IT,PT,SE",4.50,GBP,7
LGINTUPST,MaxiPak Scan Premium UPS Standard DDP,EU Zone 3,"BG,CY,EE,GR,HR,LT,LV,MT,RO,SI,SK",4.00,GBP,8
LGINTUPST,MaxiPak Scan Premium UPS Standard DDP,Rest of World,"AE,AU,CA,HK,NZ,SA,SG",4.50,GBP,7
LGINTUPSTU,MaxiPak Scan Premium UPS Standard DDU,EU Zone 1,"AT,BE,CZ,DE,DK,FR,IE,LU,NL,PL",5.50,GBP,6
LGINTUPSTU,MaxiPak Scan Premium UPS Standard DDU,EU Zone 2,"ES,FI,HU,IT,PT,SE",4.50,GBP,7
LGINTUPSTU,MaxiPak Scan Premium UPS Standard DDU,EU Zone 3,"BG,CY,EE,GR,HR,LT,LV,MT,RO,SI,SK",4.00,GBP,8
LGINTUPSTU,MaxiPak Scan Premium UPS Standard DDU,Rest of World,"AE,AU,CA,HK,NZ,SA,SG",4.50,GBP,7
LGINTPUDO,MaxiPak Scan DDP PUDO,EU Zone 1,"AT,BE,CZ,DE,DK,FR,IE,LU,NL,PL",4.33,GBP,8
LGINTPUDO,MaxiPak Scan DDP PUDO,EU Zone 2,"ES,FI,HU,IT,PT,SE",3.35,GBP,9
LGINTPUDO,MaxiPak Scan DDP PUDO,EU Zone 3,"BG,CY,EE,GR,HR,LT,LV,MT,RO,SI,SK",3.16,GBP,10
LGINTUPSS,MaxiPak Scan Premium UPS Express DDP,EU Zone 1,"AT,BE,CZ,DE,DK,FR,IE,LU,NL,PL",7.50,GBP,3
