service_code,service_name,zone_label,country_codes,min_weight,max_weight,max_length,max_width,max_height,rate,currency,transit_days,domicile,international
La Poste Standard Service,Colissimo,France,FR,0.01,1.0,100,60,60,4.90,EUR,2,true,false
La Poste Standard Service,Colissimo,France,FR,1.0,3.0,100,60,60,6.90,EUR,2,true,false
La Poste Standard Service,Colissimo,France,FR,3.0,5.0,100,60,60,8.90,EUR,2,true,false
La Poste Standard Service,Colissimo,France,FR,5.0,10.0,100,60,60,11.90,EUR,2,true,false
La Poste Standard Service,Colissimo,France,FR,10.0,20.0,100,60,60,16.90,EUR,2,true,false
La Poste Standard Service,Colissimo,France,FR,20.0,30.0,100,60,60,22.90,EUR,2,true,false
La Poste Standard Service,Colissimo,Europe,"DE,BE,NL,LU,ES,IT,PT,AT,CH,GB,PL,CZ,DK,SE",0.01,1.0,100,60,60,8.90,EUR,3-5,false,true
La Poste Standard Service,Colissimo,Europe,"DE,BE,NL,LU,ES,IT,PT,AT,CH,GB,PL,CZ,DK,SE",1.0,3.0,100,60,60,12.90,EUR,3-5,false,true
La Poste Standard Service,Colissimo,Europe,"DE,BE,NL,LU,ES,IT,PT,AT,CH,GB,PL,CZ,DK,SE",3.0,5.0,100,60,60,15.90,EUR,3-5,false,true
La Poste Standard Service,Colissimo,Europe,"DE,BE,NL,LU,ES,IT,PT,AT,CH,GB,PL,CZ,DK,SE",5.0,10.0,100,60,60,19.90,EUR,3-5,false,true
La Poste Standard Service,Colissimo,Europe,"DE,BE,NL,LU,ES,IT,PT,AT,CH,GB,PL,CZ,DK,SE",10.0,20.0,100,60,60,26.90,EUR,3-5,false,true
La Poste Standard Service,Colissimo,Europe,"DE,BE,NL,LU,ES,IT,PT,AT,CH,GB,PL,CZ,DK,SE",20.0,30.0,100,60,60,34.90,EUR,3-5,false,true
La Poste Standard Service,Colissimo,Worldwide,,0.01,1.0,100,60,60,14.90,EUR,5-10,false,true
La Poste Standard Service,Colissimo,Worldwide,,1.0,3.0,100,60,60,18.90,EUR,5-10,false,true
La Poste Standard Service,Colissimo,Worldwide,,3.0,5.0,100,60,60,22.90,EUR,5-10,false,true
La Poste Standard Service,Colissimo,Worldwide,,5.0,10.0,100,60,60,29.90,EUR,5-10,false,true
La Poste Standard Service,Colissimo,Worldwide,,10.0,20.0,100,60,60,39.90,EUR,5-10,false,true
La Poste Standard Service,Colissimo,Worldwide,,20.0,30.0,100,60,60,52.90,EUR,5-10,false,true
