service_code,service_name,zone_label,country_codes,min_weight,max_weight,max_length,max_width,max_height,rate,currency,transit_days,domicile,international
P,Express Worldwide,International,,0.01,0.5,120,80,80,0.0,EUR,,false,true
P,Express Worldwide,International,,0.5,2,120,80,80,0.0,EUR,,false,true
P,Express Worldwide,International,,2,5,120,80,80,0.0,EUR,,false,true
P,Express Worldwide,International,,5,10,120,80,80,0.0,EUR,,false,true
P,Express Worldwide,International,,10,20,120,80,80,0.0,EUR,,false,true
P,Express Worldwide,International,,20,30,120,80,80,0.0,EUR,,false,true
P,Express Worldwide,International,,30,70,120,80,80,0.0,EUR,,false,true
D,Express Worldwide (Documents),International,,0.01,0.5,120,80,80,0.0,EUR,,false,true
D,Express Worldwide (Documents),International,,0.5,1,120,80,80,0.0,EUR,,false,true
D,Express Worldwide (Documents),International,,1,2,120,80,80,0.0,EUR,,false,true
D,Express Worldwide (Documents),International,,2,2.5,120,80,80,0.0,EUR,,false,true
T,Express 12:00,International,,0.01,0.5,120,80,80,0.0,EUR,,false,true
T,Express 12:00,International,,0.5,2,120,80,80,0.0,EUR,,false,true
T,Express 12:00,International,,2,5,120,80,80,0.0,EUR,,false,true
T,Express 12:00,International,,5,10,120,80,80,0.0,EUR,,false,true
T,Express 12:00,International,,10,20,120,80,80,0.0,EUR,,false,true
T,Express 12:00,International,,20,30,120,80,80,0.0,EUR,,false,true
T,Express 12:00,International,,30,70,120,80,80,0.0,EUR,,false,true
Y,Express 9:00,International,,0.01,0.5,120,80,80,0.0,EUR,,false,true
Y,Express 9:00,International,,0.5,2,120,80,80,0.0,EUR,,false,true
Y,Express 9:00,International,,2,5,120,80,80,0.0,EUR,,false,true
Y,Express 9:00,International,,5,10,120,80,80,0.0,EUR,,false,true
Y,Express 9:00,International,,10,20,120,80,80,0.0,EUR,,false,true
Y,Express 9:00,International,,20,30,120,80,80,0.0,EUR,,false,true
Y,Express 9:00,International,,30,70,120,80,80,0.0,EUR,,false,true
K,Express 10:30,International,,0.01,0.5,120,80,80,0.0,EUR,,false,true
K,Express 10:30,International,,0.5,2,120,80,80,0.0,EUR,,false,true
K,Express 10:30,International,,2,5,120,80,80,0.0,EUR,,false,true
K,Express 10:30,International,,5,10,120,80,80,0.0,EUR,,false,true
K,Express 10:30,International,,10,20,120,80,80,0.0,EUR,,false,true
K,Express 10:30,International,,20,30,120,80,80,0.0,EUR,,false,true
K,Express 10:30,International,,30,70,120,80,80,0.0,EUR,,false,true
8,Express Easy,International,,0.01,0.5,120,80,80,0.0,EUR,,false,true
8,Express Easy,International,,0.5,2,120,80,80,0.0,EUR,,false,true
8,Express Easy,International,,2,5,120,80,80,0.0,EUR,,false,true
8,Express Easy,International,,5,10,120,80,80,0.0,EUR,,false,true
8,Express Easy,International,,10,20,120,80,80,0.0,EUR,,false,true
8,Express Easy,International,,20,31.5,120,80,80,0.0,EUR,,false,true
W,Economy Select,International,,0.01,0.5,120,80,80,0.0,EUR,,false,true
W,Economy Select,International,,0.5,2,120,80,80,0.0,EUR,,false,true
W,Economy Select,International,,2,5,120,80,80,0.0,EUR,,false,true
W,Economy Select,International,,5,10,120,80,80,0.0,EUR,,false,true
W,Economy Select,International,,10,20,120,80,80,0.0,EUR,,false,true
W,Economy Select,International,,20,30,120,80,80,0.0,EUR,,false,true
W,Economy Select,International,,30,70,120,80,80,0.0,EUR,,false,true
N,Express Domestic,Domestic,,0.01,0.5,120,80,80,0.0,EUR,,true,false
N,Express Domestic,Domestic,,0.5,2,120,80,80,0.0,EUR,,true,false
N,Express Domestic,Domestic,,2,5,120,80,80,0.0,EUR,,true,false
N,Express Domestic,Domestic,,5,10,120,80,80,0.0,EUR,,true,false
N,Express Domestic,Domestic,,10,20,120,80,80,0.0,EUR,,true,false
N,Express Domestic,Domestic,,20,30,120,80,80,0.0,EUR,,true,false
N,Express Domestic,Domestic,,30,70,120,80,80,0.0,EUR,,true,false
1,Express Domestic 12:00,Domestic,,0.01,0.5,120,80,80,0.0,EUR,,true,false
1,Express Domestic 12:00,Domestic,,0.5,2,120,80,80,0.0,EUR,,true,false
1,Express Domestic 12:00,Domestic,,2,5,120,80,80,0.0,EUR,,true,false
1,Express Domestic 12:00,Domestic,,5,10,120,80,80,0.0,EUR,,true,false
1,Express Domestic 12:00,Domestic,,10,20,120,80,80,0.0,EUR,,true,false
1,Express Domestic 12:00,Domestic,,20,30,120,80,80,0.0,EUR,,true,false
1,Express Domestic 12:00,Domestic,,30,70,120,80,80,0.0,EUR,,true,false
X,Express Envelope,International,,0.01,0.3,35,27.5,1,0.0,EUR,,false,true
X,Express Envelope,International,,0.3,0.5,35,27.5,1,0.0,EUR,,false,true
G,GlobalMail,International,,0.01,0.5,60,40,40,0.0,EUR,,false,true
G,GlobalMail,International,,0.5,1,60,40,40,0.0,EUR,,false,true
G,GlobalMail,International,,1,1.5,60,40,40,0.0,EUR,,false,true
G,GlobalMail,International,,1.5,2,60,40,40,0.0,EUR,,false,true
R,GlobalMail Business,International,,0.01,0.5,60,40,40,0.0,EUR,,false,true
R,GlobalMail Business,International,,0.5,1,60,40,40,0.0,EUR,,false,true
R,GlobalMail Business,International,,1,1.5,60,40,40,0.0,EUR,,false,true
R,GlobalMail Business,International,,1.5,2,60,40,40,0.0,EUR,,false,true
S,Same Day,Domestic,,0.01,2,120,80,80,0.0,EUR,,true,false
S,Same Day,Domestic,,2,5,120,80,80,0.0,EUR,,true,false
S,Same Day,Domestic,,5,10,120,80,80,0.0,EUR,,true,false
S,Same Day,Domestic,,10,20,120,80,80,0.0,EUR,,true,false
S,Same Day,Domestic,,20,30,120,80,80,0.0,EUR,,true,false
S,Same Day,Domestic,,30,70,120,80,80,0.0,EUR,,true,false
