Service;Status;Description;Remark
ecommerce;100;PICKED UP FROM SENDER;
ecommerce;101;SHIPMENT CANCELED;
ecommerce;104;ARRIVED AT ORIGIN PROCESSING FACILITY;
ecommerce;106;PACKAGE SCREENED SUCCESSFULLY;
ecommerce;107;PACKAGE SCREENING EXCEPTION - CANNOT BE SHIPPED INTERNATIONAL;
ecommerce;108;PACKAGE SCREENING EXCEPTION - RETURNING TO SHIPPER;
ecommerce;109;PICK UP BOOKED;
ecommerce;110;SHIPMENT DEPARTED SELLERS ORIGIN TERMINAL;
ecommerce;113;PARTNER EVENT - DEPARTED PARTNER FACILITY;
ecommerce;114;PACKAGE DEPARTED SCREENING FACILITY;
ecommerce;115;RECEIVED BY CARRIER FOR TRANSPORT;
ecommerce;116;ARRIVAL SERVICE POINT;
ecommerce;120;DEPARTURE DHL DISTRIBUTION CENTER;
ecommerce;125;ARRIVAL SORT LOCATION;
ecommerce;128;APPROACHING PICK UP LOCATION;
ecommerce;129;OUT FOR PARCEL COLLECTION;
ecommerce;130;PICKED UP;
ecommerce;132;EN ROUTE TO DHL ECOMMERCE;
ecommerce;134;UNSUCCESSFUL COLLECTION ATTEMPT;
ecommerce;135;PICK UP RESCHEDULED;
ecommerce;150;AVAILABLE FOR DELIVERY TO DHL DISTRIBUTION CENTER;
ecommerce;155;ARRIVAL DHL DISTRIBUTION CENTER;
ecommerce;156;ARRIVED AT DEPOT;
ecommerce;161;PARCEL AUTHORIZED TO LEAVE;
ecommerce;162;REDIRECTED TO PARCEL SHOP;
ecommerce;163;SHIPMENT DATA UPDATED;
ecommerce;164;THE SHIPMENT INFORMATION IS EDITED;
ecommerce;200;PACKAGE RECEIVED AT DHL ECOMMERCE DISTRIBUTION CENTER;
ecommerce;211;PARCEL ACCEPTED, NOT YET PROCESSED;
ecommerce;220;ENCODED;
ecommerce;229;PHYSICAL PACKAGE RECEIVED WITH NO ELECTRONIC DATA;
ecommerce;235;SHIPMENT LABEL CREATED;
ecommerce;238;LABEL CREATED;
ecommerce;240;DUTY/TAX ASSESSED FOR PACKAGE, AWAITING PAYMENT. PLEASE CHECK YOUR EMAIL FOR PAYMENT OPTIONS.;
ecommerce;241;DUTY/TAX PAYMENT RECEIVED;
ecommerce;242;DUTY/TAX PAYMENT NOT COLLECTED. PACKAGE WILL BE SENT FOR PROCESSING AND CUSTOMS MAY REQUEST PAYMENT.;
ecommerce;300;DN SEND;
ecommerce;312;PARCEL ON HOLD;
ecommerce;313;SUCCESSFUL CUSTOMER SERVICE RESOLUTION;
ecommerce;350;DN RECEIVED;
ecommerce;358;HELD IN FACILITY - AWAITING INSTRUCTIONS;
ecommerce;359;SHIPMENT IS RELEASED FROM HOLD FOR PROCESSING;
ecommerce;360;ARRIVED AT DESTINATION COUNTRY;
ecommerce;361;ARRIVAL IN COUNTRY;
ecommerce;365;PROCESSED SORT FACILITY;
ecommerce;371;PARCEL RECOVER;
ecommerce;399;DEPARTED FROM FACILITY;
ecommerce;400;MANIFESTED;
ecommerce;401;MANIFESTED FOR OUTBOUND TRANSPORTATION;
ecommerce;402;IN TRANSIT;
ecommerce;431;PROCESSING COMPLETED AT ORIGIN;
ecommerce;441;ARRIVED AT CUSTOMS;
ecommerce;442;CLEARED CUSTOMS;
ecommerce;443;HELD AT CUSTOMS;
ecommerce;445;ELECTRONIC SHIPPING INFO RECEIVED;
ecommerce;447;ARRIVED AT CUSTOMS;
ecommerce;448;CLEARANCE NOT POSSIBLE;
ecommerce;449;CLEARED CUSTOMS;
ecommerce;450;POSSIBLE TRANSIT DELAY;
ecommerce;451;MANIFESTED FOR OUTBOUND TRANSPORTATION;
ecommerce;452;PARCEL CLEARED CUSTOMS - PARTNER;
ecommerce;453;PARCEL HELD FOR EXAM - PARTNER;
ecommerce;454;ARRIVED AT FACILITY - PARTNER;
ecommerce;456;SHIPMENT DEPARTED SELLER ORIGINAL TERMINAL – PARTNER ;
ecommerce;461;PARTNER EVENT - SHIPMENT PICKED UP BY SHIPPING PARTNER;
ecommerce;462;PARTNER EVENT - SHIPMENT HAS ARRIVED AT PARTNER FACILITY;
ecommerce;463;PARTNER EVENT - ARRIVED AT CUSTOMS FACILITY;
ecommerce;464;PARTNER EVENT - DEPARTED CUSTOMS FACILITY;
ecommerce;468;ARRIVAL AT POST OFFICE;
ecommerce;469;AWAITING COLLECTION AT DHL SERVICE POINT;
ecommerce;470;ARRIVED AT TERMINAL LOCATION;
ecommerce;472;ARRIVED AT TERMINAL LOCATION;
ecommerce;473;AVAILABLE FOR DELIVERY;
ecommerce;477;PROCESSED SORT FACILITY;
ecommerce;478;IN TRANSIT TO DELIVERY PROVIDER;
ecommerce;479;FORWARDED TO DELIVERY AGENT;
ecommerce;480;FORWARDED TO LOCAL POST OFFICE;
ecommerce;481;DEPARTED TERMINAL LOCATION;
ecommerce;482;DEPARTED FROM FACILITY;
ecommerce;483;PROCESSED AT EXPORT FACILITY ;
ecommerce;494;ARRIVED AT DELIVERY FACILITY;
ecommerce;499;ARRIVED AT USPS FACILITY;
ecommerce;50;RECEIVED BY USPS;
ecommerce;501;ARRIVED AT CUSTOMS;
ecommerce;502;CLEARED CUSTOMS;
ecommerce;503;CONSIGNEE CONTACTED FOR PAYMENT;
ecommerce;504;DUTIES PAYMENT RECEIVED;
ecommerce;505;SHIPMENT ACCEPTED BY USPS;
ecommerce;506;HELD AT CUSTOMS;
ecommerce;507;HELD AT CUSTOMS;
ecommerce;508;CUSTOMS DELAY;
ecommerce;509;IN CLEARANCE PROCESSING;
ecommerce;51;ENROUTE - ONI;
ecommerce;510;ITEM OR SACK SCANNED BY USPS;
ecommerce;511;SHIPMENT ACCEPTED BY USPS;
ecommerce;513;PIECE BUT NO DATA;
ecommerce;515;ARRIVED AT EXPORT FACILITY;
ecommerce;517;LOADED FOR TRANSPORT;
ecommerce;518;DEPARTED FROM EXPORT FACILITY;
ecommerce;520;ARRIVAL AT POST OFFICE;
ecommerce;521;ARRIVED AT TERMINAL LOCATION;
ecommerce;522;AVAILABLE FOR PICKUP AT POST OFFICE;
ecommerce;523;HANDED OVER TO PARTNER CARRIER;
ecommerce;524;PROCESSED THROUGH USPS SORT FACILITY;
ecommerce;525;EN ROUTE TO DELIVERY LOCATION;
ecommerce;526;ARRIVED USPS SORT FACILITY;
ecommerce;528;PROCESSED AT EXPORT FACILITY;
ecommerce;529;PROCESSED SORT FACILITY;
ecommerce;530;FORWARDED;
ecommerce;531;DEPARTED TERMINAL LOCATION;
ecommerce;532;IN TRANSIT TO DESTINATION COUNTRY;
ecommerce;533;ARRIVAL AT DESTINATION COUNTRY - TRACKING UPDATES MAY END HERE, DELIVERY SHORTLY;
ecommerce;534;FORWARDED;
ecommerce;535;HANDED OVER TO PARTNER CARRIER;
ecommerce;536;SORTED THROUGH USPS FACILITY;
ecommerce;537;SORTED LOCALLY TO 5 DIGIT DESTINATION;
ecommerce;538;DEPART USPS SORT FACILITY;
ecommerce;539;SORTING COMPLETE;
ecommerce;540;PROCESSED THROUGH USPS SORT FACILITY;
ecommerce;541;EN ROUTE TO DELIVERY LOCATION;
ecommerce;542;ARRIVED AT DELIVERY TERMINAL;
ecommerce;543;SHIPMENT WAS PROCESSED AT DESTINATION SORTING HUB;
ecommerce;544;SHIPMENT WAS LOADED INTO DELIVERY VEHICLE;
ecommerce;545;ENROUTE;
ecommerce;546;MISROUTED;
ecommerce;547;AVAILABLE FOR DELIVERY;
ecommerce;548;AVAILABLE FOR DELIVERY;
ecommerce;549;ARRIVAL IN DESTINATION COUNTRY – END OF TRACKING, DELIVERY SHORTLY;
ecommerce;550;NOTICE LEFT;
ecommerce;551;NO ONE HOME, CARD LEFT;
ecommerce;552;NO ONE TO RECEIVE, CARD LEFT;
ecommerce;553;NOTICE LEFT (RECEPTACLE FULL/ITEM OVERSIZED);
ecommerce;554;NOTICE LEFT (NO SECURE LOCATION AVAILABLE);
ecommerce;555;NOTICE LEFT (BUSINESS CLOSED);
ecommerce;556;NOTICE LEFT (NO AUTHORIZED RECIPIENT AVAILABLE);
ecommerce;557;SHIPMENT WAS PROCESSED AT DESTINATION SORTING HUB;
ecommerce;558;RECIPIENT IS NEXT STOP ON ROUTE;
ecommerce;560;ARRIVAL AT PICK-UP-POINT;
ecommerce;561;SHIPMENT UPLIFT SUCCESS;
ecommerce;562;ARRIVAL AT FACILITY;
ecommerce;563;ATTEMPTED DELIVERY;
ecommerce;564;NOTICE LEFT (BUSINESS CLOSED);
ecommerce;565;ARRIVED AT PICKUP POINT;
ecommerce;566;ARRIVED AT TRANSIT FACILITY;
ecommerce;567;PROCESSED AT TRANSIT FACILITY;
ecommerce;568;DEPARTED FROM TRANSIT FACILITY;
ecommerce;570;AVAILABLE FOR PICKUP;
ecommerce;571;"DELIVERY ATTEMPTED; RETURNED FOR RE-DELIVERY";
ecommerce;572;PICKED UP BY CONSIGNEE FROM PICKUP LOCATION;
ecommerce;573;CONTACT LOCAL CUSTOMER SERVICE;
ecommerce;574;EXPECTED DELIVERY;
ecommerce;575;ARRIVED AT LOCAL DISTRIBUTION CENTER;
ecommerce;576;PROCESSED AT LOCAL DISTRIBUTION CENTER;
ecommerce;577;DEPARTED FROM LOCAL DISTRIBUTION CENTER;
ecommerce;579;PROCESSED AT DELIVERY TERMINAL;
ecommerce;580;OUT FOR SECOND DELIVERY ATTEMPT;
ecommerce;581;RESCHEDULED;
ecommerce;582;CHANGE OF ADDRESS;
ecommerce;583;FINAL DELIVERY ATTEMPT;
ecommerce;585;AVAILABLE FOR PICKUP;
ecommerce;588;"SHIPMENT HANDED OVER TO LOCAL CUSTOMS OFFICE; CONSIGNEE CONTACTED FOR PICKUP";
ecommerce;589;PICKED UP BY AGENT;
ecommerce;590;PICKED UP BY AGENT;
ecommerce;591;COD AMOUNT COLLECTED;
ecommerce;592;POSSIBLE DELIVERY DELAY;
ecommerce;593;POSSIBLE DELAY;
ecommerce;594;CONSIGNEE ON HOLIDAY;
ecommerce;595;ATTEMPTED DELIVERY;
ecommerce;596;ATTEMPTED DELIVERY;
ecommerce;597;OUT FOR DELIVERY;
ecommerce;598;OUT FOR DELIVERY;
ecommerce;599;AVAILABLE FOR PICKUP FROM SERVICE POINT;
ecommerce;600;DELIVERED;
ecommerce;601;DELIVERED TO PICK-UP LOCATION – CUSTOMER NOTIFIED;
ecommerce;602;UNDELIVERABLE - RETURNED TO SENDER;
ecommerce;603;RETURNED TO WAREHOUSE;
ecommerce;604;SHIPMENT RECALLED BY SENDER;
ecommerce;605;NO ACCESS;
ecommerce;606;DELIVERED - LEFT WITH NEIGHBOR/FRONT DESK/OTHER;
ecommerce;607;SECOND DELIVERY ATTEMPT SUCCESSFUL;
ecommerce;608;DUTIES AND TAX PAYMENT REFUSED BY CONSIGNEE;
ecommerce;609;RESCHEDULED BY REQUEST FROM CONSIGNEE;
ecommerce;610;REFUSED;
ecommerce;611;UNDELIVERABLE - CUSTOMER REFUSED SHIPMENT;
ecommerce;612;CLOSED ON ARRIVAL;
ecommerce;613;NO ONE HOME;
ecommerce;614;COD NOT READY;
ecommerce;615;ATTEMPTED DELIVERY;
ecommerce;616;RESCHEDULED;
ecommerce;617;COD AMOUNT REMITTED;
ecommerce;618;COD AMOUNT DEPOSITED;
ecommerce;619;REJECTED AFTER OPENING;
ecommerce;620;VISIBLE DAMAGE;
ecommerce;621;DELIVERED - BUSINESS ADDRESS;
ecommerce;623;VISIBLE DAMAGE;
ecommerce;624;APPROACHING RETURN PICK UP LOCATION;
ecommerce;625;UNDELIVERABLE;
ecommerce;626;UNDELIVERABLE;
ecommerce;627;UNSUCCESSFUL RETURN PICKUP;
ecommerce;628;SUCCESSFUL RETURN PICKUP;
ecommerce;629;REDELIVERY ATTEMPT UNSUCCESSFUL;
ecommerce;630;UNDELIVERABLE AS ADDRESSED;
ecommerce;631;UNDELIVERABLE - INCORRECT ADDRESS;
ecommerce;632;CHANGE OF ADDRESS;
ecommerce;633;UNDELIVERABLE - UNIT/SUITE NOT PROVIDED;
ecommerce;636;UNDELIVERED - PROCESSES FOR LOCAL DISPOSAL;
ecommerce;637;RECEIVED BACK AT DESTINATION DEPOT;
ecommerce;638;1ST DELIVERY ATTEMPT;
ecommerce;639;3RD DELIVERY ATTEMPT;
ecommerce;640;MISSENT;
ecommerce;641;MISSENT;
ecommerce;642;DELIVERED TO AGENT FOR FINAL DELIVERY;
ecommerce;644;PARCEL IS HOLD BY DHL;
ecommerce;650;DEAD LETTER;
ecommerce;651;UNABLE TO ATTEMPT DELIVERY;
ecommerce;652;DELIVERED AT BACK DOOR;
ecommerce;653;DELIVERED AT BUILDING FOYER/ENTRANCE;
ecommerce;654;DELIVERED AT CAR PORT;
ecommerce;655;DELIVERED AT ENCLOSED PORCH;
ecommerce;656;DELIVERED AT RESIDENTIAL CONCIERGE;
ecommerce;657;DELIVERED AT PARCEL BOX;
ecommerce;658;DELIVERED AT OPEN PORCH;
