service_code,service_name,zone_label,country_codes,min_weight,max_weight,max_length,max_width,max_height,rate,currency,transit_days,domicile,international
PurolatorExpress,Purolator Express,Canada,CA,0.01,1.0,122,76,76,14.99,CAD,1,true,false
PurolatorExpress,Purolator Express,Canada,CA,1.0,5.0,122,76,76,18.99,CAD,1,true,false
PurolatorExpress,Purolator Express,Canada,CA,5.0,10.0,122,76,76,24.99,CAD,1,true,false
PurolatorExpress,Purolator Express,Canada,CA,10.0,20.0,122,76,76,34.99,CAD,1,true,false
PurolatorExpress,Purolator Express,Canada,CA,20.0,30.0,122,76,76,44.99,CAD,1,true,false
PurolatorExpress,Purolator Express,Canada,CA,30.0,70.0,122,76,76,64.99,CAD,1,true,false
PurolatorExpress9AM,Purolator Express 9AM,Canada,CA,0.01,1.0,122,76,76,22.99,CAD,1,true,false
PurolatorExpress9AM,Purolator Express 9AM,Canada,CA,1.0,5.0,122,76,76,28.99,CAD,1,true,false
PurolatorExpress9AM,Purolator Express 9AM,Canada,CA,5.0,10.0,122,76,76,37.99,CAD,1,true,false
PurolatorExpress9AM,Purolator Express 9AM,Canada,CA,10.0,20.0,122,76,76,52.99,CAD,1,true,false
PurolatorExpress9AM,Purolator Express 9AM,Canada,CA,20.0,30.0,122,76,76,68.99,CAD,1,true,false
PurolatorExpress9AM,Purolator Express 9AM,Canada,CA,30.0,70.0,122,76,76,99.99,CAD,1,true,false
PurolatorExpress10:30AM,Purolator Express 10:30AM,Canada,CA,0.01,1.0,122,76,76,19.99,CAD,1,true,false
PurolatorExpress10:30AM,Purolator Express 10:30AM,Canada,CA,1.0,5.0,122,76,76,25.99,CAD,1,true,false
PurolatorExpress10:30AM,Purolator Express 10:30AM,Canada,CA,5.0,10.0,122,76,76,33.99,CAD,1,true,false
PurolatorExpress10:30AM,Purolator Express 10:30AM,Canada,CA,10.0,20.0,122,76,76,47.99,CAD,1,true,false
PurolatorExpress10:30AM,Purolator Express 10:30AM,Canada,CA,20.0,30.0,122,76,76,62.99,CAD,1,true,false
PurolatorExpress10:30AM,Purolator Express 10:30AM,Canada,CA,30.0,70.0,122,76,76,89.99,CAD,1,true,false
PurolatorExpress12PM,Purolator Express 12PM,Canada,CA,0.01,1.0,122,76,76,16.99,CAD,1,true,false
PurolatorExpress12PM,Purolator Express 12PM,Canada,CA,1.0,5.0,122,76,76,22.99,CAD,1,true,false
PurolatorExpress12PM,Purolator Express 12PM,Canada,CA,5.0,10.0,122,76,76,29.99,CAD,1,true,false
PurolatorExpress12PM,Purolator Express 12PM,Canada,CA,10.0,20.0,122,76,76,42.99,CAD,1,true,false
