service_code,service_name,zone_label,country_codes,min_weight,max_weight,max_length,max_width,max_height,rate,currency,transit_days,domicile,international
eCommerce Standard Tracked,eCommerce Standard Tracked,USA,US,0.01,1.0,91,61,61,0.0,USD,5-8,true,false
eCommerce Standard Tracked,eCommerce Standard Tracked,USA,US,1.0,5.0,91,61,61,0.0,USD,5-8,true,false
eCommerce Standard Tracked,eCommerce Standard Tracked,USA,US,5.0,10.0,91,61,61,0.0,USD,5-8,true,false
eCommerce Standard Tracked,eCommerce Standard Tracked,USA,US,10.0,22.0,91,61,61,0.0,USD,5-8,true,false
eCommerce Standard Tracked,eCommerce Standard Tracked,International,,0.01,1.0,91,61,61,0.0,USD,7-14,false,true
eCommerce Standard Tracked,eCommerce Standard Tracked,International,,1.0,5.0,91,61,61,0.0,USD,7-14,false,true
eCommerce Standard Tracked,eCommerce Standard Tracked,International,,5.0,10.0,91,61,61,0.0,USD,7-14,false,true
eCommerce Standard Tracked,eCommerce Standard Tracked,International,,10.0,22.0,91,61,61,0.0,USD,7-14,false,true
eCommerce Express Tracked,eCommerce Express Tracked,USA,US,0.01,1.0,91,61,61,0.0,USD,2-4,true,false
eCommerce Express Tracked,eCommerce Express Tracked,USA,US,1.0,5.0,91,61,61,0.0,USD,2-4,true,false
eCommerce Express Tracked,eCommerce Express Tracked,USA,US,5.0,10.0,91,61,61,0.0,USD,2-4,true,false
eCommerce Express Tracked,eCommerce Express Tracked,USA,US,10.0,22.0,91,61,61,0.0,USD,2-4,true,false
eCommerce Express Tracked,eCommerce Express Tracked,International,,0.01,1.0,91,61,61,0.0,USD,3-7,false,true
eCommerce Express Tracked,eCommerce Express Tracked,International,,1.0,5.0,91,61,61,0.0,USD,3-7,false,true
eCommerce Express Tracked,eCommerce Express Tracked,International,,5.0,10.0,91,61,61,0.0,USD,3-7,false,true
eCommerce Express Tracked,eCommerce Express Tracked,International,,10.0,22.0,91,61,61,0.0,USD,3-7,false,true
Domestic Express,Domestic Express,USA,US,0.01,1.0,108,68,68,0.0,USD,1-2,true,false
Domestic Express,Domestic Express,USA,US,1.0,5.0,108,68,68,0.0,USD,1-2,true,false
Domestic Express,Domestic Express,USA,US,5.0,10.0,108,68,68,0.0,USD,1-2,true,false
Domestic Express,Domestic Express,USA,US,10.0,20.0,108,68,68,0.0,USD,1-2,true,false
Domestic Express,Domestic Express,USA,US,20.0,31.5,108,68,68,0.0,USD,1-2,true,false
Domestic Standard,Domestic Standard,USA,US,0.01,1.0,108,68,68,0.0,USD,3-5,true,false
Domestic Standard,Domestic Standard,USA,US,1.0,5.0,108,68,68,0.0,USD,3-5,true,false
Domestic Standard,Domestic Standard,USA,US,5.0,10.0,108,68,68,0.0,USD,3-5,true,false
Domestic Standard,Domestic Standard,USA,US,10.0,20.0,108,68,68,0.0,USD,3-5,true,false
Domestic Standard,Domestic Standard,USA,US,20.0,31.5,108,68,68,0.0,USD,3-5,true,false
Domestic Large Parcel,Domestic Large Parcel,USA,US,0.01,5.0,165,100,100,0.0,USD,3-5,true,false
Domestic Large Parcel,Domestic Large Parcel,USA,US,5.0,10.0,165,100,100,0.0,USD,3-5,true,false
Domestic Large Parcel,Domestic Large Parcel,USA,US,10.0,20.0,165,100,100,0.0,USD,3-5,true,false
Domestic Large Parcel,Domestic Large Parcel,USA,US,20.0,40.0,165,100,100,0.0,USD,3-5,true,false
Domestic Large Parcel,Domestic Large Parcel,USA,US,40.0,68.0,165,100,100,0.0,USD,3-5,true,false
