service_code,service_name,zone_label,country_codes,min_weight,max_weight,max_length,max_width,max_height,rate,currency,transit_days,domicile,international
STANDARD-PICKUP,Standard Pickup,Australia,AU,0.01,0.5,120,60,60,0.0,AUD,3-7,true,false
STANDARD-PICKUP,Standard Pickup,Australia,AU,0.5,1.0,120,60,60,0.0,AUD,3-7,true,false
STANDARD-PICKUP,Standard Pickup,Australia,AU,1.0,3.0,120,60,60,0.0,AUD,3-7,true,false
STANDARD-PICKUP,Standard Pickup,Australia,AU,3.0,5.0,120,60,60,0.0,AUD,3-7,true,false
STANDARD-PICKUP,Standard Pickup,Australia,AU,5.0,10.0,120,60,60,0.0,AUD,3-7,true,false
STANDARD-PICKUP,Standard Pickup,Australia,AU,10.0,25.0,120,60,60,0.0,AUD,3-7,true,false
STANDARD-DROPOFF,Standard Dropoff,Australia,AU,0.01,0.5,120,60,60,0.0,AUD,3-7,true,false
STANDARD-DROPOFF,Standard Dropoff,Australia,AU,0.5,1.0,120,60,60,0.0,AUD,3-7,true,false
STANDARD-DROPOFF,Standard Dropoff,Australia,AU,1.0,3.0,120,60,60,0.0,AUD,3-7,true,false
STANDARD-DROPOFF,Standard Dropoff,Australia,AU,3.0,5.0,120,60,60,0.0,AUD,3-7,true,false
STANDARD-DROPOFF,Standard Dropoff,Australia,AU,5.0,10.0,120,60,60,0.0,AUD,3-7,true,false
STANDARD-DROPOFF,Standard Dropoff,Australia,AU,10.0,25.0,120,60,60,0.0,AUD,3-7,true,false
EXPRESS-PICKUP,Express Pickup,Australia,AU,0.01,0.5,120,60,60,0.0,AUD,1-3,true,false
EXPRESS-PICKUP,Express Pickup,Australia,AU,0.5,1.0,120,60,60,0.0,AUD,1-3,true,false
EXPRESS-PICKUP,Express Pickup,Australia,AU,1.0,3.0,120,60,60,0.0,AUD,1-3,true,false
EXPRESS-PICKUP,Express Pickup,Australia,AU,3.0,5.0,120,60,60,0.0,AUD,1-3,true,false
EXPRESS-PICKUP,Express Pickup,Australia,AU,5.0,10.0,120,60,60,0.0,AUD,1-3,true,false
EXPRESS-PICKUP,Express Pickup,Australia,AU,10.0,25.0,120,60,60,0.0,AUD,1-3,true,false
