service_code,service_name,zone_label,country_codes,min_weight,max_weight,max_length,max_width,max_height,rate,currency,transit_days,domicile,international
TRCK,Spring Tracked,Worldwide,,0.01,0.5,,,,0.0,EUR,7-14,false,true
TRCK,Spring Tracked,Worldwide,,0.5,1.0,,,,0.0,EUR,7-14,false,true
TRCK,Spring Tracked,Worldwide,,1.0,1.5,,,,0.0,EUR,7-14,false,true
TRCK,Spring Tracked,Worldwide,,1.5,2.0,,,,0.0,EUR,7-14,false,true
SIGN,Spring Signature,Worldwide,,0.01,0.5,,,,0.0,EUR,7-14,false,true
SIGN,Spring Signature,Worldwide,,0.5,1.0,,,,0.0,EUR,7-14,false,true
SIGN,Spring Signature,Worldwide,,1.0,1.5,,,,0.0,EUR,7-14,false,true
SIGN,Spring Signature,Worldwide,,1.5,2.0,,,,0.0,EUR,7-14,false,true
UNTR,Spring Untracked,Worldwide,,0.01,0.5,,,,0.0,EUR,10-21,false,true
UNTR,Spring Untracked,Worldwide,,0.5,1.0,,,,0.0,EUR,10-21,false,true
UNTR,Spring Untracked,Worldwide,,1.0,1.5,,,,0.0,EUR,10-21,false,true
UNTR,Spring Untracked,Worldwide,,1.5,2.0,,,,0.0,EUR,10-21,false,true
CLLCT,Spring Collect Service,Worldwide,,0.01,0.5,,,,0.0,EUR,5-10,false,true
CLLCT,Spring Collect Service,Worldwide,,0.5,1.0,,,,0.0,EUR,5-10,false,true
CLLCT,Spring Collect Service,Worldwide,,1.0,2.0,,,,0.0,EUR,5-10,false,true
CLLCT,Spring Collect Service,Worldwide,,2.0,5.0,,,,0.0,EUR,5-10,false,true
CLLCT,Spring Collect Service,Worldwide,,5.0,10.0,,,,0.0,EUR,5-10,false,true
CLLCT,Spring Collect Service,Worldwide,,10.0,20.0,,,,0.0,EUR,5-10,false,true
CLLCT,Spring Collect Service,Worldwide,,20.0,31.5,,,,0.0,EUR,5-10,false,true
EXPR,Spring Express,Worldwide,,0.01,0.5,,,,0.0,EUR,3-5,false,true
EXPR,Spring Express,Worldwide,,0.5,2.0,,,,0.0,EUR,3-5,false,true
EXPR,Spring Express,Worldwide,,2.0,5.0,,,,0.0,EUR,3-5,false,true
EXPR,Spring Express,Worldwide,,5.0,10.0,,,,0.0,EUR,3-5,false,true
EXPR,Spring Express,Worldwide,,10.0,20.0,,,,0.0,EUR,3-5,false,true
EXPR,Spring Express,Worldwide,,20.0,31.5,,,,0.0,EUR,3-5,false,true
PPTT,PostNL Packet Tracked,PPTT Countries,"AU,AT,BE,BG,BR,BY,CA,CH,CN,CY,CZ,DK,DE,EE,ES,FI,FR,GB,GF,GI,GP,GR,HK,HR,HU,ID,IE,IL,IS,IT,JP,KR,LB,LT,LU,LV,MQ,MT,MY,NL,NO,NZ,PL,PT,RE,RO,RS,RU,SA,SE,SG,SI,SK,TH,TR,US",0.01,0.5,,,,0.0,EUR,5-10,false,true
PPTT,PostNL Packet Tracked,PPTT Countries,"AU,AT,BE,BG,BR,BY,CA,CH,CN,CY,CZ,DK,DE,EE,ES,FI,FR,GB,GF,GI,GP,GR,HK,HR,HU,ID,IE,IL,IS,IT,JP,KR,LB,LT,LU,LV,MQ,MT,MY,NL,NO,NZ,PL,PT,RE,RO,RS,RU,SA,SE,SG,SI,SK,TH,TR,US",0.5,1.0,,,,0.0,EUR,5-10,false,true
PPTT,PostNL Packet Tracked,PPTT Countries,"AU,AT,BE,BG,BR,BY,CA,CH,CN,CY,CZ,DK,DE,EE,ES,FI,FR,GB,GF,GI,GP,GR,HK,HR,HU,ID,IE,IL,IS,IT,JP,KR,LB,LT,LU,LV,MQ,MT,MY,NL,NO,NZ,PL,PT,RE,RO,RS,RU,SA,SE,SG,SI,SK,TH,TR,US",1.0,1.5,,,,0.0,EUR,5-10,false,true
PPTT,PostNL Packet Tracked,PPTT Countries,"AU,AT,BE,BG,BR,BY,CA,CH,CN,CY,CZ,DK,DE,EE,ES,FI,FR,GB,GF,GI,GP,GR,HK,HR,HU,ID,IE,IL,IS,IT,JP,KR,LB,LT,LU,LV,MQ,MT,MY,NL,NO,NZ,PL,PT,RE,RO,RS,RU,SA,SE,SG,SI,SK,TH,TR,US",1.5,2.0,,,,0.0,EUR,5-10,false,true
PPTR,PostNL Packet Registered,Worldwide,,0.01,0.5,,,,0.0,EUR,5-10,false,true
PPTR,PostNL Packet Registered,Worldwide,,0.5,1.0,,,,0.0,EUR,5-10,false,true
PPTR,PostNL Packet Registered,Worldwide,,1.0,1.5,,,,0.0,EUR,5-10,false,true
PPTR,PostNL Packet Registered,Worldwide,,1.5,2.0,,,,0.0,EUR,5-10,false,true
PPNT,PostNL Packet Non Tracked,Worldwide,,0.01,0.5,,,,0.0,EUR,10-21,false,true
PPNT,PostNL Packet Non Tracked,Worldwide,,0.5,1.0,,,,0.0,EUR,10-21,false,true
PPNT,PostNL Packet Non Tracked,Worldwide,,1.0,1.5,,,,0.0,EUR,10-21,false,true
PPNT,PostNL Packet Non Tracked,Worldwide,,1.5,2.0,,,,0.0,EUR,10-21,false,true
PPBBT,PostNL Packet Boxable Bag & Trace,Worldwide,,0.01,0.5,,,,0.0,EUR,7-14,false,true
PPBBT,PostNL Packet Boxable Bag & Trace,Worldwide,,0.5,1.0,,,,0.0,EUR,7-14,false,true
PPBBT,PostNL Packet Boxable Bag & Trace,Worldwide,,1.0,1.5,,,,0.0,EUR,7-14,false,true
PPBBT,PostNL Packet Boxable Bag & Trace,Worldwide,,1.5,2.0,,,,0.0,EUR,7-14,false,true
PPBT,PostNL Packet Bag & Trace,Worldwide,,0.01,0.5,,,,0.0,EUR,7-14,false,true
PPBT,PostNL Packet Bag & Trace,Worldwide,,0.5,1.0,,,,0.0,EUR,7-14,false,true
PPBT,PostNL Packet Bag & Trace,Worldwide,,1.0,1.5,,,,0.0,EUR,7-14,false,true
PPBT,PostNL Packet Bag & Trace,Worldwide,,1.5,2.0,,,,0.0,EUR,7-14,false,true
PPBTT,PostNL Packet Boxable Tracked,Worldwide,,0.01,0.5,,,,0.0,EUR,5-10,false,true
PPBTT,PostNL Packet Boxable Tracked,Worldwide,,0.5,1.0,,,,0.0,EUR,5-10,false,true
PPBTT,PostNL Packet Boxable Tracked,Worldwide,,1.0,1.5,,,,0.0,EUR,5-10,false,true
PPBTT,PostNL Packet Boxable Tracked,Worldwide,,1.5,2.0,,,,0.0,EUR,5-10,false,true
PPBNT,PostNL Packet Boxable Non Tracked,Worldwide,,0.01,0.5,,,,0.0,EUR,10-21,false,true
PPBNT,PostNL Packet Boxable Non Tracked,Worldwide,,0.5,1.0,,,,0.0,EUR,10-21,false,true
PPBNT,PostNL Packet Boxable Non Tracked,Worldwide,,1.0,1.5,,,,0.0,EUR,10-21,false,true
PPBNT,PostNL Packet Boxable Non Tracked,Worldwide,,1.5,2.0,,,,0.0,EUR,10-21,false,true
PPLEU,PostNL Parcel EU,EU Countries,"AT,BE,BG,CY,CZ,DK,DE,EE,FI,FR,GR,HR,HU,IE,LT,LU,LV,MT,NL,PL,RO,SE,SI,SK",0.01,2.0,120,60,60,0.0,EUR,3-7,false,true
PPLEU,PostNL Parcel EU,EU Countries,"AT,BE,BG,CY,CZ,DK,DE,EE,FI,FR,GR,HR,HU,IE,LT,LU,LV,MT,NL,PL,RO,SE,SI,SK",2.0,5.0,120,60,60,0.0,EUR,3-7,false,true
PPLEU,PostNL Parcel EU,EU Countries,"AT,BE,BG,CY,CZ,DK,DE,EE,FI,FR,GR,HR,HU,IE,LT,LU,LV,MT,NL,PL,RO,SE,SI,SK",5.0,10.0,120,60,60,0.0,EUR,3-7,false,true
PPLEU,PostNL Parcel EU,EU Countries,"AT,BE,BG,CY,CZ,DK,DE,EE,FI,FR,GR,HR,HU,IE,LT,LU,LV,MT,NL,PL,RO,SE,SI,SK",10.0,20.0,120,60,60,0.0,EUR,3-7,false,true
PPLEU,PostNL Parcel EU,EU Countries,"AT,BE,BG,CY,CZ,DK,DE,EE,FI,FR,GR,HR,HU,IE,LT,LU,LV,MT,NL,PL,RO,SE,SI,SK",20.0,30.0,120,60,60,0.0,EUR,3-7,false,true
PPND,PostNL Parcel Benelux - No sign,Benelux,"NL,BE",0.01,2.0,120,60,60,0.0,EUR,1-2,false,true
PPND,PostNL Parcel Benelux - No sign,Benelux,"NL,BE",2.0,5.0,120,60,60,0.0,EUR,1-2,false,true
PPND,PostNL Parcel Benelux - No sign,Benelux,"NL,BE",5.0,10.0,120,60,60,0.0,EUR,1-2,false,true
