service_code,service_name,zone_label,country_codes,min_weight,max_weight,max_length,max_width,max_height,rate,currency,transit_days,domicile,international
TELESHIP-EXPEDITED-PICKUP,Expedited Pickup,USA,US,0.01,1.0,120,60,60,0.0,USD,1-2,true,false
TELESHIP-EXPEDITED-PICKUP,Expedited Pickup,USA,US,1.0,5.0,120,60,60,0.0,USD,1-2,true,false
TELESHIP-EXPEDITED-PICKUP,Expedited Pickup,USA,US,5.0,10.0,120,60,60,0.0,USD,1-2,true,false
TELESHIP-EXPEDITED-PICKUP,Expedited Pickup,USA,US,10.0,20.0,120,60,60,0.0,USD,1-2,true,false
TELESHIP-EXPEDITED-PICKUP,Expedited Pickup,USA,US,20.0,31.5,120,60,60,0.0,USD,1-2,true,false
TELESHIP-EXPEDITED-DROPOFF,Expedited Dropoff,USA,US,0.01,1.0,120,60,60,0.0,USD,1-2,true,false
TELESHIP-EXPEDITED-DROPOFF,Expedited Dropoff,USA,US,1.0,5.0,120,60,60,0.0,USD,1-2,true,false
TELESHIP-EXPEDITED-DROPOFF,Expedited Dropoff,USA,US,5.0,10.0,120,60,60,0.0,USD,1-2,true,false
TELESHIP-EXPEDITED-DROPOFF,Expedited Dropoff,USA,US,10.0,20.0,120,60,60,0.0,USD,1-2,true,false
TELESHIP-EXPEDITED-DROPOFF,Expedited Dropoff,USA,US,20.0,31.5,120,60,60,0.0,USD,1-2,true,false
TELESHIP-STANDARD-DROPOFF,Standard Dropoff,USA,US,0.01,1.0,120,60,60,0.0,USD,3-5,true,false
TELESHIP-STANDARD-DROPOFF,Standard Dropoff,USA,US,1.0,5.0,120,60,60,0.0,USD,3-5,true,false
TELESHIP-STANDARD-DROPOFF,Standard Dropoff,USA,US,5.0,10.0,120,60,60,0.0,USD,3-5,true,false
TELESHIP-STANDARD-DROPOFF,Standard Dropoff,USA,US,10.0,20.0,120,60,60,0.0,USD,3-5,true,false
TELESHIP-STANDARD-DROPOFF,Standard Dropoff,USA,US,20.0,31.5,120,60,60,0.0,USD,3-5,true,false
TELESHIP-STANDARD-PICKUP,Standard Pickup,USA,US,0.01,1.0,120,60,60,0.0,USD,3-5,true,false
TELESHIP-STANDARD-PICKUP,Standard Pickup,USA,US,1.0,5.0,120,60,60,0.0,USD,3-5,true,false
TELESHIP-STANDARD-PICKUP,Standard Pickup,USA,US,5.0,10.0,120,60,60,0.0,USD,3-5,true,false
TELESHIP-STANDARD-PICKUP,Standard Pickup,USA,US,10.0,20.0,120,60,60,0.0,USD,3-5,true,false
TELESHIP-STANDARD-PICKUP,Standard Pickup,USA,US,20.0,31.5,120,60,60,0.0,USD,3-5,true,false
TELESHIP-POSTAL-DROPOFF,Postal Dropoff,USA,US,0.01,1.0,120,60,60,0.0,USD,5-8,true,false
TELESHIP-POSTAL-DROPOFF,Postal Dropoff,USA,US,1.0,5.0,120,60,60,0.0,USD,5-8,true,false
TELESHIP-POSTAL-DROPOFF,Postal Dropoff,USA,US,5.0,10.0,120,60,60,0.0,USD,5-8,true,false
TELESHIP-POSTAL-DROPOFF,Postal Dropoff,USA,US,10.0,20.0,120,60,60,0.0,USD,5-8,true,false
TELESHIP-POSTAL-DROPOFF,Postal Dropoff,USA,US,20.0,31.5,120,60,60,0.0,USD,5-8,true,false
TELESHIP-POSTAL-PICKUP,Postal Pickup,USA,US,0.01,1.0,120,60,60,0.0,USD,5-8,true,false
TELESHIP-POSTAL-PICKUP,Postal Pickup,USA,US,1.0,5.0,120,60,60,0.0,USD,5-8,true,false
TELESHIP-POSTAL-PICKUP,Postal Pickup,USA,US,5.0,10.0,120,60,60,0.0,USD,5-8,true,false
TELESHIP-POSTAL-PICKUP,Postal Pickup,USA,US,10.0,20.0,120,60,60,0.0,USD,5-8,true,false
TELESHIP-POSTAL-PICKUP,Postal Pickup,USA,US,20.0,31.5,120,60,60,0.0,USD,5-8,true,false
